23|07|Именины Антон, Даниил, Леонтий|
24|07|Именины Ефимия, Ольга, Елена|
25|07|1980 Умер Владимир Семенович Высоцкий|
25|07|1947 В Праге открылся 1-й Всемирный фестиваль молодежи и студентов|
25|07|1662 В Москве произошел «Медный бунт» - принятое в исторической литературе название массового выступления посадских людей против выпуска медных денег|
25|07|Именины Арсений, Вероника, Гавриил, Иван, Михаил|
26|07|1951 Во время раскопок в Великом Новгороде обнаружена первая берестяная грамота.|
26|07|Именины Гавриил, Степан|
27|07|1841 Погиб на дуэли Михаил Юрьевич Лермонтов|
27|07|Именины Стефан|
28|07|День PR-специалиста|
28|07|1986 Михаил Горбачев объявил о начале вывода войск из Афганистана|
28|07|1951 Принята Женевская конвенция «О статусе беженцев»|
29|07|1957 Создано Международное агентство по атомной энергии|
29|07|Именины Алевтина, Павел, Афиноген, Валентина|
30|07|Именины Леонид, Марина, Маргарита|
31|07|Именины Иван, Емельян|
01|08|День тыла Вооруженных Сил РФ|
01|08|День инкассатора|
01|08|Именины Роман, Степан|
02|08|1930 День Воздушно-десантных войск (День ВДВ)|
02|08|1933 Открыт Беломорско-Балтийский канал имени Сталина|
02|08|Именины Илья, Иван|
03|08|1492 Началась первая экспедиция Христофора Колумба|
03|08|1959 В Москве открылся первый Международный кинофестиваль|
03|08|Именины Семен, Иван|
04|08|1693 Французский монах-бенедиктинец Дом Периньон открыл секрет изготовления шампанского|
04|08|1777 В Лондоне открыт первый цирк|
04|08|Именины Мария|
05|08|1941 Началась героическая оборона Одессы|
05|08|1930 Родился Нил Армстронг, американский астронавт, первый человек, ступивший на поверхность Луны|
05|08|Именины Трофим|
06|08|Международный день «Врачи мира за мир»|
06|08|День железнодорожных войск|
06|08|1961 Второй в истории полет в космос совершил Герман Титов|
06|08|День Хиросимы. Всемирный день борьбы за запрещение ядерного оружия|
06|08|Именины Борис, Глеб, Роман, Харитон|
07|08|1941 Летчик Виктор Талалихин впервые совершил ночной воздушный таран вражеского бомбардировщика|
07|08|Именины Анна, Макар, Олимпиада|
08|08|1900 Учрежден Кубок Дэвиса|
09|08|Международный день коренных народов мира|
09|08|День воинской славы России (первая в истории победа русского флота)|
09|08|1996 Куранты впервые исполнили Государственный гимн России|
09|08|Именины Николай|
10|08|1524 Основан Новодевичий монастырь|
11|08|1959 В Москве открыт международный аэропорт Шереметьево|
11|08|Именины Константин, Кузьма, Михаил, Роман|
12|08|Международный день молодежи|
12|08|День Военно-воздушных сил (День ВВС)|
12|08|Именины Валентин, Максим, Иван|
13|08|Международный день левши (леворуких)|
14|08|Именины Александр, Леонтий|
15|08|1961 года Указом Президиума Верховного Совета Казахской ССР поселок Тентек был переименован в город Шахтинск.|
15|08|День археолога|
15|08|Именины Василий, Степан|
18|08|1769 Родился Наполеон I (Бонапарт)|
16|08|1976 Умер Элвис Пресли, американский певец, актер|
16|08|Именины Антон, Кузьма, Денис|
17|08|Именины Евдокия|
18|08|1845 Основано Русское географическое общество|
18|08|1992 День образования пограничных войск Республики Казахстан
19|08|1960 Совершил полет космический корабль «Восток» с собаками Белкой и Стрелкой на борту|
20|08|1721 Пущены знаменитые фонтаны и каскады Петергофа|
20|08|Именины Митрофан|
21|08|1940 В Мехико агентом НКВД убит Лев Давыдович Троцкий|
21|08|1957 Осуществлен удачный запуск советской ракеты Р-7|
21|08|Именины Григорий, Емельян, Леонид|
22|08|День Государственного флага Российской Федерации|
